Database Name	Operetta CLS
Database Link	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	c87bb3cb-4285-4183-96ba-56da85797635
Plate Name	11.07.23-OPP incorporation
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - Cells

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cells - Intensity Cell 5-TAMRA Mean	Cells - Intensity Cell 5-TAMRA Minimum	
2	2	1	0	2	10	1862	1870	[1801,1769,1973,1961]	-1053,32	1058,82					1136,08	712	
2	2	1	0	2	11	229	1898	[173,1833,505,1943]	-1522,17	1044,55					1007,87	731	
2	2	1	0	2	12	99	2069	[69,1995,168,2159]	-1579,31	992,96					1846,67	694	
2	2	1	0	22	1	1001	91	[910,26,1045,128]	-677,18	-993,96					618,909	473	
2	2	1	0	22	2	2049	255	[1876,128,2099,317]	-370,78	-1035,08					552,007	364	
2	2	1	0	22	3	939	183	[805,125,1068,282]	-688,79	-1026,2					896,666	572	
2	2	1	0	22	4	2135	336	[2056,298,2159,379]	-337,61	-1067,04					625,037	359	
2	2	1	0	22	5	2115	392	[2053,353,2159,447]	-338,72	-1085,6					652,661	438	
2	2	1	0	22	6	1389	548	[1331,490,1494,681]	-548,73	-1140,38					1069,07	731	
2	2	1	0	22	7	632	717	[525,666,720,816]	-785,7	-1188,44					1334,59	841	
2	2	1	0	22	8	1463	809	[1434,725,1622,852]	-513,34	-1202,2					994,526	803	
2	2	1	0	22	9	530	891	[507,776,553,941]	-809,88	-1229,02					977,975	820	
2	2	1	0	22	10	619	1142	[578,1090,670,1228]	-780,92	-1314,88					1452,16	886	
2	2	1	0	22	11	33	1251	[0,1212,59,1333]	-958,9	-1347,35					851,861	650	
2	2	1	0	7	1	655	193	[570,17,784,286]	1160,13	919,78					791,28	458	
2	2	1	0	7	2	435	961	[324,895,532,1138]	1094,19	669,01					1129,53	785	
2	2	1	0	7	3	51	1006	[0,896,192,1079]	988,16	673,1					1189,18	620	
2	2	1	0	7	4	586	1067	[560,1018,640,1130]	1147,37	647,33					993,067	844	
2	2	1	0	7	5	2037	1255	[1981,1162,2097,1299]	1579,18	598,73					758,084	601	
2	2	1	0	7	6	1287	1567	[1205,1518,1354,1625]	1352,41	499,31					1231,9	888	
2	2	1	0	7	7	1190	1631	[993,1589,1280,1788]	1310,18	469,01					1058,96	828	
2	2	1	0	7	8	647	1730	[544,1623,727,1850]	1162,24	449,74					1917,08	854	
2	2	1	0	7	9	861	2040	[752,1983,917,2100]	1225,18	357,83					1607,92	821	
2	2	1	0	7	10	118	2117	[30,1982,296,2159]	1017,63	339,11					1625,07	561	
2	2	1	0	7	11	1631	2047	[1516,2026,1659,2073]	1447,48	355,14					860,107	709	
2	2	1	0	21	1	1838	165	[1789,92,1867,231]	-1067,85	-1016,57					511,542	373	
2	2	1	0	21	2	114	316	[0,259,224,592]	-1592,14	-1085,46					1106,46	485	
2	2	1	0	21	3	1217	343	[1106,261,1293,409]	-1255,17	-1066,2					798,742	618	
2	2	1	0	21	4	1549	667	[1465,604,1617,727]	-1153,47	-1167,05					911,909	694	
2	2	1	0	21	5	49	713	[0,643,84,769]	-1602,99	-1181,44					1275,85	614	
2	2	1	0	21	6	2119	791	[2055,684,2159,904]	-980,04	-1207,57					1599,91	483	
2	2	1	0	21	7	2108	1088	[1986,1006,2159,1183]	-985,44	-1294,83					903,028	521	
2	2	1	0	6	1	163	879	[102,836,204,965]	1015,66	1346,18					837,195	692	
2	2	1	0	6	2	576	886	[531,855,685,1004]	1150,07	1339,68					975,279	816	
2	2	1	0	6	3	55	1490	[16,1417,98,1537]	987,95	1170,93					798,543	651	
2	2	1	0	10	1	2136	134	[2113,0,2159,224]	-329,91	935,29					333,17	222	
2	2	1	0	10	2	1474	240	[1411,49,1515,333]	-530,2	905,61					659,279	419	
2	2	1	0	10	3	1037	129	[845,76,1124,198]	-671,82	925,86					906,93	528	
2	2	1	0	10	4	1613	391	[1541,220,1731,536]	-483,86	853,99					1180,05	560	
2	2	1	0	10	5	919	501	[847,406,1014,573]	-693,98	821,57					1407,8	763	
2	2	1	0	10	6	256	556	[208,422,304,611]	-892,88	809,12					1246,4	685	
2	2	1	0	10	7	2006	612	[1931,495,2089,679]	-369,88	791,36					1171,45	500	
2	2	1	0	10	8	1778	618	[1637,538,1846,668]	-445,87	786,83					1631,11	713	
2	2	1	0	10	9	150	603	[109,545,212,737]	-921,23	775,17					1054,94	603	
2	2	1	0	10	10	1741	694	[1659,624,1832,747]	-449,96	764,71					1016,98	760	
2	2	1	0	10	11	1365	808	[1291,641,1451,877]	-563,11	735,77					1682,22	853	
2	2	1	0	10	12	1666	754	[1611,660,1849,954]	-459,87	723,04					1879,96	770	
2	2	1	0	10	13	2112	717	[2045,676,2159,784]	-336,5	753,51					1156,1	503	
2	2	1	0	10	14	1965	800	[1864,742,2074,871]	-378,42	730,65					1731,08	771	
2	2	1	0	10	15	292	877	[264,792,316,952]	-880,62	705,29					1916,91	786	
2	2	1	0	10	16	895	869	[858,822,941,1044]	-700,49	692,4					2430,61	967	
2	2	1	0	10	17	2103	960	[2051,898,2156,1024]	-340,09	683,78					1210,45	558	
2	2	1	0	10	18	1827	1215	[1754,1148,1903,1325]	-420,47	603,87					1638,47	765	
2	2	1	0	10	19	1919	1462	[1824,1352,1987,1532]	-397,01	531,55					1259,38	743	
2	2	1	0	10	20	1194	1472	[1036,1375,1499,1541]	-593,29	531,09					1731,57	882	
2	2	1	0	10	21	1582	1498	[1509,1402,1692,1645]	-493,34	519					2008,12	934	
2	2	1	0	10	22	1726	1602	[1674,1493,1786,1704]	-450,73	488,46					2050,71	1036	
2	2	1	0	10	23	974	1741	[835,1683,1021,1784]	-687,39	449,24					1039,51	857	
2	2	1	0	10	24	2107	1966	[2006,1910,2159,2052]	-341,58	382,17					1837,48	517	
2	2	1	0	10	25	30	2123	[0,2054,73,2156]	-958,34	334,41					2238,34	648	
2	2	1	0	10	26	124	2129	[62,2065,167,2159]	-930,53	331,44					1788,61	684	
2	2	1	0	25	1	528	125	[411,49,587,211]	1121,22	-1006,45					1028,48	456	
2	2	1	0	25	2	307	165	[96,101,499,253]	1057,88	-1025,81					860,222	435	
2	2	1	0	25	3	31	171	[0,116,103,219]	979,86	-1021,72					709,634	400	
