Database Name	Operetta CLS
Database Link	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	2b185cda-bd25-4ec7-abb1-d37a8cb17dad
Plate Name	19.06.24 OPP ISRIB
Measurement	Measurement 1
Evaluation	Evaluation8
Population	Population - Cells

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cells - Intensity Cell 5-TAMRA Mean	Cells - Intensity Cell 5-TAMRA Minimum	
2	2	1	0	17	16	1237	1682	[1121,1638,1323,1724]	686,57	-824,43					879,198	553	
2	2	1	0	17	17	1320	1744	[1260,1700,1394,1798]	720,55	-844,82					1283,47	570	
2	2	1	0	17	18	70	1786	[0,1748,164,1855]	345,56	-858,93					887,408	417	
2	2	1	0	17	19	1369	1832	[1295,1770,1459,1900]	734,1	-869,76					868,445	544	
2	2	1	0	17	20	2130	2061	[2071,1998,2159,2120]	960,86	-937,2					422,946	295	
2	2	1	0	17	21	540	2067	[472,2030,578,2159]	481,92	-947,24					1119,31	460	
2	2	1	0	17	22	192	2107	[132,2034,258,2159]	383,64	-955,01					738,315	396	
2	2	1	0	8	1	250	400	[217,299,341,529]	401,53	843,13					1056,06	357	
2	2	1	0	8	2	700	590	[672,525,738,636]	533,84	790,57					591,042	454	
2	2	1	0	8	3	2125	652	[2093,598,2159,736]	959,11	770,59					394,065	295	
2	2	1	0	8	4	1894	1038	[1860,1010,1923,1065]	888,74	659,27					606	456	
2	2	1	0	8	5	38	1172	[0,1076,123,1249]	336,91	616,79					528,661	131	
2	2	1	0	8	6	590	1296	[408,1217,638,1348]	484,54	584,54					631,965	504	
2	2	1	0	8	7	1505	1742	[1405,1429,1576,1881]	768,92	469,46					870,837	500	
2	2	1	0	8	8	1370	1564	[1263,1519,1415,1628]	728,11	502,64					754,521	540	
2	2	1	0	8	9	1927	2056	[1903,2031,1950,2108]	899,17	351,83					472,298	347	
2	2	1	0	27	1	1895	35	[1863,0,1942,111]	887,45	-1628,26					338,595	245	
2	2	1	0	27	2	1376	454	[1320,393,1451,541]	733,16	-1752,19					591,649	452	
2	2	1	0	3	1	495	274	[463,147,552,347]	-817,65	1541,84					471,553	345	
2	2	1	0	3	2	485	467	[444,359,524,597]	-823,35	1470,02					612,691	392	
2	2	1	0	3	3	2127	476	[2088,443,2159,518]	-335,5	1472,31					381,38	278	
2	2	1	0	3	4	1885	942	[1836,829,1973,1013]	-400,9	1341,74					545,639	406	
2	2	1	0	3	5	858	1409	[836,1380,1016,1449]	-698,84	1189,35					656,046	519	
2	2	1	0	3	6	968	1554	[935,1485,1006,1624]	-677,88	1148,43					655,142	497	
2	2	1	0	3	7	2125	1682	[2092,1622,2156,1761]	-330,78	1110,2					440,131	334	
2	2	1	0	24	1	183	73	[149,0,253,106]	379,25	-984,22					408,533	227	
2	2	1	0	24	2	473	77	[260,0,567,244]	458,14	-996,87					639,167	237	
2	2	1	0	24	3	1010	41	[930,0,1091,83]	624,15	-979,85					568,531	293	
2	2	1	0	24	4	1468	29	[1409,0,1544,80]	759,35	-978,33					367,318	233	
2	2	1	0	24	5	144	135	[31,96,207,185]	361,32	-1013,9					448,945	260	
2	2	1	0	24	6	847	227	[802,145,895,332]	576,01	-1039,17					772,962	381	
2	2	1	0	24	7	236	200	[156,144,316,265]	391,17	-1032,88					689,359	315	
2	2	1	0	24	8	101	370	[0,228,197,441]	352,89	-1073,15					595,15	298	
2	2	1	0	24	9	1107	539	[1044,486,1163,735]	653,05	-1144,06					1185,2	523	
2	2	1	0	24	10	1963	559	[1931,501,1997,634]	907,68	-1136,41					660,117	392	
2	2	1	0	24	11	1454	634	[1374,581,1574,745]	757,37	-1163,92					764,971	467	
2	2	1	0	24	12	669	749	[635,711,708,803]	522,97	-1194,42					830,093	515	
2	2	1	0	24	13	546	741	[485,711,571,850]	480,09	-1201,08					656,205	509	
2	2	1	0	24	14	594	768	[529,728,647,817]	499,28	-1201,67					1745,35	571	
2	2	1	0	24	15	1677	811	[1597,748,1705,865]	819,69	-1208,27					812,952	482	
2	2	1	0	24	16	1086	877	[911,826,1148,1063]	631,19	-1246,93					954,25	555	
2	2	1	0	24	17	247	919	[207,894,292,944]	397,91	-1244,9					579,238	463	
2	2	1	0	24	18	1211	1047	[1130,995,1272,1144]	683,67	-1284,25					950,998	568	
2	2	1	0	24	19	532	1395	[478,1298,602,1467]	485,78	-1383,78					1093,8	583	
2	2	1	0	24	20	333	1477	[281,1427,390,1550]	422,54	-1411,35					913,161	545	
2	2	1	0	24	21	89	1491	[55,1441,124,1532]	351,22	-1417,1					759,096	438	
2	2	1	0	24	22	590	1664	[543,1619,630,1729]	500,78	-1469,24					987,605	564	
2	2	1	0	24	23	2064	2124	[2005,2088,2159,2159]	945,66	-1604					433,106	309	
2	2	1	0	18	1	2126	85	[2093,1,2159,158]	313,17	-344,95					303,844	164	
2	2	1	0	18	2	2011	106	[1945,64,2092,153]	277,46	-356,14					364,987	204	
2	2	1	0	18	3	1685	387	[1498,335,1788,446]	174,79	-436,45					697,833	377	
2	2	1	0	18	4	1377	418	[1313,345,1467,488]	89,79	-448,7					755,811	448	
2	2	1	0	18	5	1826	413	[1791,356,1861,513]	221,71	-450,86					610,813	375	
2	2	1	0	18	6	1266	461	[1208,386,1343,554]	54,31	-461,82					920,553	482	
2	2	1	0	18	7	1644	484	[1602,397,1686,566]	165,9	-466,64					623,47	410	
2	2	1	0	18	8	1768	526	[1723,433,1819,607]	202,68	-479,71					876,348	411	
2	2	1	0	18	9	1474	514	[1391,433,1545,569]	117,95	-474,7					824,581	463	
2	2	1	0	18	10	497	749	[383,503,589,985]	-175,06	-543,91					1007,6	444	
2	2	1	0	18	11	2015	715	[1935,638,2159,808]	285,44	-537,29					540,964	277	
2	2	1	0	18	12	1871	753	[1818,697,1983,1008]	241,76	-574,65					801,393	411	
2	2	1	0	18	13	1629	1088	[1587,971,1660,1160]	164,18	-642,83					1032,67	516	
2	2	1	0	18	14	1583	1217	[1549,1148,1623,1270]	151,64	-684,4					1044,47	559	
